sample_origin	main_cell_type	cell_type_epi_custom	cell_type_imm_custom	cell_type_str_custom	n	nrel
Tumor	Epithelial	Imma. Gob. 1	NA	NA	625	4.673596051746055
Tumor	Epithelial	Imma. Gob. 2	NA	NA	1423	10.640843490615419
Tumor	Epithelial	Goblet	NA	NA	416	3.1107455320421744
Tumor	Epithelial	Tuft	NA	NA	73	0.5458760188439392
Tumor	Epithelial	TC1	NA	NA	1202	8.988259926718014
Tumor	Epithelial	TC2	NA	NA	1085	8.113362745831152
Tumor	Epithelial	TC3	NA	NA	1172	8.763927316234204
Tumor	Epithelial	TC4	NA	NA	1696	12.682270246018096
Tumor	Immune	NA	B cells	NA	308	1.3578450822201649
Tumor	Immune	NA	B cells 2	NA	1580	6.965568928272274
Tumor	Immune	NA	GC B cells	NA	60	0.264515275757175
Tumor	Immune	NA	Plasma L 1	NA	792	3.49160163999471
Tumor	Immune	NA	Plasma L 2	NA	1219	5.374068685799938
Tumor	Immune	NA	Plasma K 1	NA	1213	5.347617158224221
Tumor	Immune	NA	Plasma K 2	NA	2462	10.853943481902746
Tumor	Immune	NA	Plasma K 3	NA	282	1.2432217960587224
Tumor	Immune	NA	Plasma K 4	NA	95	0.4188158532821937
Tumor	Immune	NA	Plasma K 5	NA	228	1.0051580478772648
Tumor	Immune	NA	Plasma K 6	NA	225	0.9919322840894063
Tumor	Immune	NA	Plasma K 7	NA	82	0.36150421020147244
Tumor	Immune	NA	Treg	NA	1960	8.64083234140105
Tumor	Immune	NA	Tconv 1	NA	1483	6.537935899131508
Tumor	Immune	NA	Tconv 2	NA	3216	14.178018780584578
Tumor	Immune	NA	CD8+ T 1	NA	2331	10.276418463166248
Tumor	Immune	NA	CD8+ T 2	NA	1513	6.670193537010095
Tumor	Immune	NA	CD8+ T 3	NA	15	0.06612881893929375
Tumor	Immune	NA	CD8+ T 4	NA	228	1.0051580478772648
Tumor	Immune	NA	Mast	NA	411	1.8119296389366486
Tumor	Immune	NA	Monocyte 1	NA	1878	8.279328131199577
Tumor	Immune	NA	Monocyte 2	NA	1102	4.858263898073447
Tumor	Stromal	NA	NA	CB FBs	305	14.010105649977033
Tumor	Stromal	NA	NA	UC FBs	215	9.875976113918236
Tumor	Stromal	NA	NA	CAFs	413	18.971061093247588
Tumor	Stromal	NA	NA	CCL FBs	112	5.144694533762058
Tumor	Stromal	NA	NA	Pericytes	249	11.437758383096003
Tumor	Stromal	NA	NA	MyoFBs 1	207	9.508497932935231
Tumor	Stromal	NA	NA	MyoFBs 2	72	3.307303628847037
Tumor	Stromal	NA	NA	Glia	73	3.353238401469913
Tumor	Stromal	NA	NA	Endothelial	531	24.3913642627469
